name,return_max,return_min,ic_mean,ic_std,ir
alpha029,0.7473658436429886,-0.5020966227708978,0.008944891194262861,0.1345357159264767,0.06648711186218545
alpha015,2.614175681872055,-1.7932763158312603,0.017201421976659217,0.08836804379145916,0.1946565889503344
alpha014,3.83116419134355,0.7456969339725283,0.012192315601087226,0.11798127168527972,0.10334111021968613
alpha028,5.520379602366177,-6.402580751482256,0.025418216764603003,0.11049731834664762,0.23003469355574788
alpha002,0.10850763777270345,-0.8845423047521006,0.017582333839091524,0.1097536218246183,0.1601982107450391
alpha016,-1.2836719197384383,-1.0317760445721635,0.01493165852573675,0.10174474484658788,0.14675606635262498
alpha017,-0.04897858141839073,0.39437286797783244,0.018328039474763635,0.14738578926373666,0.12435418344143667
alpha003,-1.403933849508654,0.6437257555225173,0.000550788729655679,0.08722481677691898,0.006314587407667975
alpha013,-1.3905959354354458,0.08001918848643541,0.014818001144766566,0.107883409120843,0.13735199198394388
alpha012,0.7902783388402668,0.2905878901482417,0.009355035426360722,0.12442685230321561,0.07518502038099822
alpha006,-0.5095289464929209,-0.1457483376532398,0.005561503017342348,0.12646761415346566,0.043975709153440554
alpha010,-1.205653857997424,-0.9617677264872615,0.017592329690143637,0.14716247927410678,0.11954358051671535
alpha038,-5.10376407822033,-1.4466241661792445,0.025692636214475886,0.17847362433822267,0.14395760891696893
alpha039,3.960617564711111,-5.996771420800906,0.028951304277538503,0.18625463077007895,0.1554393797235425
alpha005,7.912027521961296,-15.389324518675362,0.07876434190955893,0.17838641600801036,0.44153777889692036
alpha011,4.461018354389168,-0.389114369906407,0.012963230036430054,0.11863480925906426,0.10927003733046085
alpha077,-3.4359175425302535,2.665229347813547,-0.005286444511907406,0.1280488430267947,-0.041284594120082736
alpha088,-2.652660687693098,0.44767354545394156,0.023313486513474032,0.14667858357699762,0.15894267550815164
alpha049,-21.279341354701884,-1.0535591668092703,0.025890551224962862,0.1645044065636206,0.1573851531749086
alpha101,0.5503991311273104,-0.19464112831490965,-0.027489505738910888,0.16745530772307568,-0.1641602533397798
alpha060,9.854875465233892,-9.212416276808133,0.0551499720289612,0.14987959957505215,0.3679618319326032
alpha071,0.6325705198495513,4.048163400007798,0.0024870663553096996,0.08533873652408343,0.02914346352676343
alpha098,-0.22895963249447426,0.20860249566378997,-0.0049829355715394225,0.09253559135263119,-0.0538488542484225
alpha066,-2.2415369133876872,-5.459408788294207,0.012014990767317728,0.09401915340466827,0.12779301166012366
alpha072,1.0510311964417873,-0.19401129944696116,0.009901397826614595,0.10411613328493008,0.09509955387526611
alpha094,-6.535441300030698,0.19731070822093244,0.005482796454943461,0.17130376891718224,0.03200628036149134
