name,return_max,return_min,ic_mean,ic_std,ir
alpha029,2.43216437765037,-3.554850099092288,0.011521309029538124,0.15730654053830648,0.07324113155188557
alpha015,0.45892448202522473,-2.6857541701263976,0.015344169705894547,0.07725242041964188,0.1986238052159878
alpha014,7.700801659638046,-7.408396175828669,0.018415419846265373,0.11615450353720837,0.15854245238426135
alpha028,6.576240609674766,-3.9241495342778876,0.018340335358541716,0.11767664988254933,0.1558536496139789
alpha002,0.0412156754525661,0.511832897631681,0.005520313589583971,0.09754360452865153,0.056593290931364816
alpha016,-0.3082618102734358,-2.4387667694436566,0.019952638644029016,0.08759136010212033,0.2277923144562065
alpha017,-2.2051529231892353,-1.3990002916408617,0.014825639768970798,0.14174430848020916,0.1045942509292414
alpha003,2.801292361296337,-4.449060265354632,0.013513636807356162,0.08192824695199259,0.16494478168530485
alpha013,0.8880906687269707,-1.7409274593549462,0.018162142451525337,0.09514610980937917,0.19088686324551105
alpha012,-1.7170037769209667,-2.009931968144363,0.006392747028358249,0.09693104099539664,0.06595149461627929
alpha006,7.6463724144737455,-7.430420435321494,0.02442650026538822,0.12016554616227704,0.2032737423121396
alpha010,-4.387098769970121,-1.4901957525426113,0.010020805196461214,0.14426637564368508,0.06946043491943683
alpha038,-1.9815145935642153,-6.595920193870342,0.017979611200063306,0.1741120751409703,0.10326458509845493
alpha039,-1.038435019945494,-4.80293988088909,0.00884273008303297,0.1883885105921395,0.04693879714446838
alpha005,-0.5604740757181315,-10.201234191318242,0.013015302492938006,0.1924001880930366,0.06764703622142175
alpha011,-2.279098541824176,-2.2482105056820245,-0.005269499454123664,0.13393463627913482,-0.039343814270279096
alpha077,-1.7199246959509473,-3.9410016785135227,0.006287087249420139,0.12107836267800275,0.05192577030579852
alpha088,-0.28818494590465704,-1.1234349916744435,0.03223936291114111,0.11244260093102765,0.28671840249334635
alpha049,-13.94109622924189,-3.020091080765397,-0.002921154626864722,0.16270980604084762,-0.017953156591750705
alpha101,0.601802716237998,-0.3742666796047178,-0.015989946980815628,0.1702926580522814,-0.09389686651027886
alpha060,4.931192000916518,-2.5846218116931663,0.022921891346799658,0.16143758914994955,0.1419860855671532
alpha071,-2.7867134727554976,-0.9361775631699931,0.002291210380726759,0.07663512723563792,0.029897652204344077
alpha098,-0.10577122174337816,-1.9114150981214273,-0.0018741153438684417,0.08652533852211078,-0.021659728535930872
alpha073,-1.7566965781168342,0.7493457700102901,-0.007976225581141484,0.17688541203890223,-0.045092613852109414
alpha066,-0.7464235413290332,0.8749719682699109,0.004306097079108375,0.08900175661075622,0.04838215832009731
alpha072,0.32583680449560504,-1.1665789823200878,0.0017920147914309609,0.10756257749635594,0.01666020685950624
alpha094,-2.477601634975901,-4.578581301609708,0.02765668637849302,0.16787610643948128,0.1647446260523272
alpha057,3.1474633951744657,-5.464833426989113,0.026087333952396412,0.17007363368956932,0.15338846702136616
alpha043,-0.5384370746064349,-2.659344409483566,0.0046175195755756545,0.12322210640909917,0.037473142686308435
alpha042,6.5747445404462646,-10.530854387160726,0.052547210128391135,0.1945081397173339,0.27015429896535226
alpha083,4.070443590533657,-13.299213531047238,0.04122354725581315,0.1626903368042332,0.25338657516836927
alpha040,5.577308123736469,-11.609178030199674,0.043389631960710336,0.12942650153846302,0.33524534345708007
alpha054,1.9624220081237986,-6.4955881917161395,0.026695789625228117,0.16083336852278132,0.16598414788189167
alpha055,-0.3341678458312902,0.45024607318477905,0.007163023426427778,0.09860259211584471,0.07264538662444284
alpha041,-4.887591135379621,-1.411709740336553,0.0017389675316328037,0.14831731979036475,0.011724642368744945
alpha045,-4.84669421603634,-3.96712181094383,0.006706739731235055,0.091051507033113,0.07365874492111364
alpha078,0.3054440468752695,-0.11047055603619071,0.007472935673431938,0.09145116641462822,0.08171503947309514
alpha050,0.3326794253388776,-3.967638577707655,0.016101391025527247,0.0867556313373832,0.1855947651733487
alpha044,-1.8752705573565898,-0.2067611657352586,0.014456585446851227,0.09961160581355409,0.14512952912244015
alpha085,-2.5290611551942455,-0.290501792910014,-0.004855007901389641,0.10623713957435264,-0.04569972347562827
alpha052,0.15016215111574027,-7.144119499026269,0.012448958743642215,0.1657354100166598,0.07511345187121352
alpha047,0.5987128410467335,-2.5758180408630427,-0.004741643872569682,0.13297262093668352,-0.035658798323810366
alpha053,0.6429385750195138,-3.795279709191135,0.019915503836117926,0.14042233052356468,0.14182576063125407
alpha084,-2.0139221255133233,-2.7093675277578555,-0.009925522417565566,0.1824996831653666,-0.054386518625195925
alpha008,-2.8523801679192218,-0.9316810962223254,0.009826011116324003,0.173389232954649,0.05667024963939979
alpha034,1.687519837858531,0.5619034112624988,0.011904118338559706,0.1308459174343981,0.09097814109888483
alpha020,-1.5060816910072994,-0.6278665480641266,0.0017424080454145634,0.15369438631649196,0.0113368359585141
alpha009,-2.808102398592638,-2.0192618191972045,0.014720690509042383,0.1537689303505893,0.09573254151849517
alpha037,3.677143343439049,-2.5951604472185252,0.014752375352410484,0.1365729956389027,0.10801824535954077
alpha036,3.002245744605503,-4.323462753534901,0.01724977274448976,0.12120403209945392,0.14232012290098953
alpha022,-3.00098720505404,-0.9838506584203266,0.0040969779974428374,0.1031104986227054,0.039733858842388184
alpha026,-1.7041751969071317,-7.076123371038134,0.01309869720897064,0.11991273233080613,0.10923524928808186
alpha032,10.307834057372567,-8.114865913938507,0.023414429224366626,0.09993121714701829,0.2343054542197704
alpha033,0.07355367618755437,-1.6132457173778647,0.02190247733130282,0.16974992439355968,0.12902790625415914
alpha031,-1.4923244910081124,-4.0045906370378415,0.003870305122339254,0.1349728444914689,0.02867469480191536
alpha025,2.3722767786682475,-8.860852912119244,0.033291991123541684,0.1547804087391284,0.21509176383978296
alpha019,3.019467244038676,-4.296553656235602,0.022680989512857738,0.15285126994925327,0.14838600634713628
alpha018,1.3577355659122325,-5.05430927521755,0.03189019517325836,0.15137026159807418,0.2106767527292434
alpha024,-0.5810203420764104,-5.024298470700517,0.02716111434449469,0.18211671766988963,0.1491412468443878
alpha030,-0.6643760341595861,-5.754006302097769,0.004835117289363494,0.13959543184165366,0.03463664409053213
