name,return_max,return_min,ic_mean,ic_std,ir
alpha029,1.2262007287811016,-0.8599276007148493,0.009692181678166689,0.12432293105723538,0.0779597263010525
alpha015,3.1427686313900693,-1.5175360088259815,0.015879249330708185,0.08714608779696147,0.18221413871962533
alpha014,1.2428807200270953,-1.9934012606037665,0.005846025165429911,0.11431121599469815,0.05114130852829922
alpha028,2.8427891387639015,-5.1439461557833965,0.020518599625434154,0.10270896663022347,0.19977418037225472
alpha002,2.5269158957375026,-2.732298632018848,0.022637714437928298,0.07929747223073734,0.28547838665093606
alpha016,3.383508095833321,-2.9089093389722542,0.023511544545546832,0.09332205903343282,0.2519398391876863
alpha017,1.1106371483071698,0.7384582104275061,0.01904761304929562,0.14370416579950882,0.13254739654430203
alpha003,2.3080609822168086,-5.127145200589656,0.010625148205278262,0.08771547647913107,0.12113196703441675
alpha013,3.1195582822984846,-2.152255431634442,0.021902227978845397,0.09387598287145676,0.233310238773594
alpha012,3.3063494193541487,2.1901699594439883,0.008716240688440131,0.10402097024720364,0.0837931108287701
alpha006,3.8342024219883974,-4.807046256548597,0.009245316682243484,0.1184846443198902,0.07802966144104345
alpha010,0.6794483373662175,1.133704000650937,0.018364867839827666,0.13513313138067926,0.13590203714063712
alpha038,0.7496919115301814,-3.635728802483529,0.030951606730072124,0.13840801064591662,0.2236258334010328
alpha039,5.587100257058442,-4.284217458611073,0.03100027367703145,0.1447401394207175,0.21417882973652988
alpha005,11.082291546187228,-11.457657360782747,0.06231949187815284,0.13384305631631854,0.46561617459533955
alpha011,4.966765666636341,-5.009402725445478,0.019101055308193237,0.11492020894784835,0.16621145647987326
alpha077,-1.1630392664097045,0.21289323063999888,0.0010943022404003601,0.10706314813411441,0.010221091565788487
alpha088,-2.4740087317720594,0.020697923051038458,0.0327817056094092,0.13500854014910058,0.24281208857755054
alpha049,8.013487586449042,0.95966072966025,0.029890194252107292,0.15429056963020354,0.19372664397925757
alpha101,-6.3748381736594695,3.733849329428107,-0.043605051543204605,0.14417835764655845,-0.30243825949314007
alpha060,3.538537778884354,-5.41495318917673,0.03285338828859207,0.13483737333483206,0.24365194512510702
alpha071,2.96976811780425,-1.806223125940809,0.014232361408221521,0.09417422029325372,0.15112799834076326
alpha098,-0.06252158509911787,-3.9660982477396356,0.0020802819065692036,0.08850246588042171,0.023505355312697544
alpha073,-2.993110017368572,-1.2356105390387562,-0.01264393929138728,0.1313539243628791,-0.09625855757805196
alpha066,0.8548819935527696,-0.09506690636928994,0.008542853088686844,0.08463260046544822,0.10094045369874362
alpha072,2.9768780070060785,-2.2311017520726395,0.012080912093034895,0.09207019022511924,0.13121415371789788
alpha094,-2.1512711277871244,3.7265042161593875,0.015272998479393349,0.14238207162574257,0.10726770797055886
alpha057,9.592116104897297,-9.953082305028671,0.05575228858932667,0.13265268038948239,0.42028768982000225
alpha043,0.15356097551100234,-1.8575416520738575,0.005610698706137045,0.10694521553071452,0.05246329794459725
alpha042,0.46680818988953376,-9.573699250176038,0.030478967092083878,0.13840191224105092,0.22022070792634335
alpha083,11.5847841814265,-13.223762762020197,0.07402149749962503,0.1473789063829409,0.5022529975035356
alpha040,1.1540854993907779,-3.6039940322729613,0.012918576127764828,0.12341728629284454,0.10467396031631768
alpha054,4.405641132418925,-11.342687734584578,0.04823173721951982,0.12381242830919052,0.3895548926564395
alpha055,2.616558219821208,-4.315985361372787,0.02638313523525545,0.0824549029344659,0.31997048442618903
alpha041,-4.981316246871481,5.390763969097545,-0.008228041017915086,0.12200283549603595,-0.06744139170587087
alpha045,0.7655916258797468,2.424473288775708,0.0016620531348866608,0.08817426472053266,0.01884963985982213
alpha078,0.032798647562337635,-0.7698126378086201,0.005814596397627227,0.09033416294117655,0.06436763466124719
alpha050,-0.14329818537439643,-4.163975986468671,0.017603536333573932,0.08792513779280703,0.20021050606774302
alpha044,4.64033472475478,-3.157454475913868,0.021000479425449498,0.10472799492971632,0.20052402836073643
alpha085,1.9616532910404771,-2.9673224570292422,0.011740139957158323,0.10265320682018064,0.11436700635883422
alpha052,4.609744631074442,-3.565641624810878,0.023153552841215466,0.14136249278501964,0.1637885155040862
