name,return_max,return_min,ic_mean,ic_std,ir
alpha029,4.48044940509762,-5.593056845361044,0.031354477349705534,0.13034647802172333,0.24054717722775792
alpha015,1.663351631024934,-0.6096819691892019,0.020029282474978847,0.0937180497100146,0.21371851566431543
alpha014,-1.7628448066175917,-2.9758295056514505,0.009051424834513898,0.13548750178216915,0.06680634534886015
alpha028,-1.795397059350945,-0.9800993039221773,-0.0010819407986017225,0.11159130046443404,-0.009695565820084287
alpha002,1.507652236456547,0.608682014144879,0.028752666138028706,0.08429204516477722,0.3411077057369047
alpha016,-0.6242384521593092,-3.8225110828327136,0.030016217379806812,0.09642999463641941,0.31127469718296935
alpha017,0.17524490851794639,-3.164677858980003,0.04345182928252015,0.1593900770544204,0.27261313932161807
alpha003,4.052238789522544,-2.1553611149249807,0.01618864252357086,0.09042190626162427,0.1790345193202528
alpha013,-1.515724183998035,-3.8805140747744105,0.02774346568497888,0.09698854003265578,0.2860489051143334
alpha012,-3.671192222781672,1.3301334956650201,0.012063092603481703,0.1289698883314847,0.09353417886566323
alpha006,-1.983584546310091,-3.9468205699599856,0.0012510631074836693,0.1437593752621038,0.008702480135314418
alpha010,-6.241363248635778,-4.733789466425664,0.04444990989710133,0.15109933036175466,0.2941767497624346
alpha038,-0.41304521847362885,-5.765908366071049,0.05781479176659731,0.16755471302131078,0.34505022702192817
alpha005,2.4559049565997526,-13.297041215301064,0.07515753657473942,0.1746263088264531,0.4303906844267801
alpha011,5.684060613908581,-7.964318477829968,0.014975770707446807,0.12666401827321877,0.11823224078635765
alpha077,-1.4327744433118017,-3.593150748799623,0.015045834724664382,0.11399093509942504,0.13199150188162875
alpha088,4.496067842141294,-5.234986241404727,0.06648288590244718,0.17130996169472776,0.38808534684584695
alpha049,-4.369896716097665,-9.905272225051442,0.06516698016829814,0.16421173517938625,0.39684727828440025
alpha101,-1.3806914434466577,-7.519618319413723,-0.04498201807659196,0.17342842052770607,-0.25936935791562404
alpha060,-2.3846484425260606,-3.0501104623070763,0.030951687947063114,0.13490171120562094,0.2294388089702264
alpha098,-2.4494168251287807,0.7682202430325802,-0.008577092645715842,0.08228498300976415,-0.10423642725548185
alpha066,1.5522990891536637,-1.3583281126061664,0.026767626691910285,0.08360658138514493,0.3201617175160126
alpha072,-2.23985699885354,1.5045878829922366,0.008421904811472614,0.1007152601022568,0.08362094088742664
alpha094,3.5280384712277346,-13.539669977897795,0.05966155294257091,0.15241101458852538,0.3914517143242131
alpha057,-1.2570195975980525,-7.030723132652739,0.05741907862881104,0.15441520701925449,0.371848600518026
alpha043,-5.647479642387765,3.1226750823543092,-0.012752992160622029,0.1276482038271502,-0.09990733734013987
alpha042,8.03586807912593,-9.107466211971671,0.06005914365312283,0.15002591522397582,0.40032512758518873
alpha083,5.217439473079732,-11.888072170169739,0.08549084796401198,0.18689626631725703,0.45742405479032405
alpha040,1.412529585014255,-2.8655200561367167,0.023884966956565223,0.17106557268435899,0.13962462804036252
alpha054,0.8876463059226403,-4.662957529985023,0.046891058481010224,0.15574619704477372,0.3010735374009167
alpha055,0.9363793530936526,-1.389137455312106,0.027237333683802104,0.10201104924582863,0.2670037597414074
alpha041,-10.753780219134867,2.48493119115345,-0.0017513044670756798,0.1492701536733003,-0.011732449012604807
alpha045,-5.828147573062603,-1.891923920233074,0.0015316131426970196,0.11462398161509359,0.013362065434440799
alpha078,0.5782983217028637,-0.3921365228876095,0.00869432243118676,0.08866754050838607,0.09805530165082747
alpha050,1.0242091213208404,-3.7435806285213147,0.025385296018949916,0.10528774335316678,0.24110399948263678
alpha044,1.0361817720161426,-2.7517640871721483,0.02831857195925784,0.11333854055820732,0.24985827256805254
alpha085,-2.916060136926024,0.15269965446318423,0.000977028923793682,0.10113034000720772,0.009661086116431999
alpha047,-0.6848336093134844,-4.271936879807203,0.0070025078957340735,0.1740507373694785,0.04023256667318223
alpha053,-1.6648018387588337,3.4640075458391983,0.02428195930172879,0.15918346745818496,0.1525407109762029
alpha084,-11.609777397113552,5.560884961284263,-0.08016786157515761,0.17075763357491386,-0.46948332497233164
alpha008,1.8252934961981993,-6.432593013298016,0.05089575899058229,0.17832097835382968,0.2854165531191369
alpha034,2.690764187491812,-1.017823494118275,0.05564755556459381,0.1668596819089698,0.3334991109173533
alpha020,-0.5422115990072474,-2.0977742493943907,0.012405743946959608,0.13685542136472148,0.09064853860555615
alpha009,-5.1998492918936545,-5.921572545620757,0.058518739702543475,0.1641799443058314,0.35643050038764684
alpha037,-3.4278266287701697,-4.119256173878982,0.05570618752681878,0.1666973772553804,0.33417554879388955
alpha022,-3.7768337797738916,-1.639683734545594,0.0029377442784787834,0.10714134055054239,0.0274193347160235
alpha026,0.8786150068629262,-3.162691490109504,0.020752973496649604,0.12198147784560372,0.17013216976201403
alpha032,2.097983928754932,-7.082793553983002,0.009327715651804045,0.11496225521293882,0.08113720137558876
alpha033,-6.751633992667649,-7.244244214682505,0.06554046688196917,0.18882410184036366,0.3470979935462827
alpha031,4.021629708157448,-1.6864947238548478,0.037945558180305816,0.13102613991387968,0.2896029617086065
alpha025,-1.4794783177562998,-12.551044683946078,0.07989561942437669,0.17768470001437284,0.4496482782024224
alpha018,2.0634806432706654,-8.514926928889777,0.0476719560735761,0.15830800296336692,0.30113421419767117
alpha024,-0.8732156675705927,-3.1476307724143116,0.02299423699290755,0.13172101959910032,0.17456771184198003
alpha030,-1.8946194819646767,-2.256531520916649,0.025941649447682864,0.12281801714079119,0.21122022689834602
