name,return_max,return_min,ic_mean,ic_std,ir
alpha029,-4.616039740911182,4.603803907083925,-0.013614670405361563,0.14431231265787794,-0.09434171038224537
alpha015,0.8094652696466476,-2.6636968787752124,0.020705465172852478,0.08000517067477397,0.2588015874251614
alpha014,1.8519373491110436,-0.929666205031765,0.008779536661958957,0.1157497737654872,0.0758492770771767
alpha028,0.21754564301978974,-6.688361017137545,0.013794224823298997,0.1195373402158681,0.11539678562688875
alpha002,0.17202363136403775,0.0818248587064474,0.01630797238369916,0.0971842510175134,0.16780468247638528
alpha016,0.7342077652716661,-1.4931233495130147,0.023264827626797227,0.08867091026575642,0.2623727167914482
alpha017,-3.830110730084213,-3.1024146157321297,0.020567063735742987,0.14701709100058125,0.13989573318153653
alpha003,1.7458000147829722,-0.12530054577575278,0.012740318280616574,0.07849821352072088,0.16230074175195797
alpha013,-1.451442076662035,-1.2577686859138737,0.02132301103887447,0.0938135124193114,0.22729146888316645
alpha012,-0.4677807083919294,-0.3641294763689906,0.014268615243928355,0.095536431065735,0.14935260910165946
alpha006,3.4264142648909868,-2.165208031211785,0.00950345682632219,0.11858356722444006,0.08014143147115184
alpha010,2.925116441847564,-4.2975963709224185,0.020462307857059388,0.14147561464973296,0.14463487511766757
alpha038,-0.6839657547230704,-4.831501915520953,0.03138658380222299,0.16792295843790156,0.1869106171913345
alpha039,4.124097036579677,-5.14264302357792,0.022134256859021924,0.17246927329522055,0.12833739272000114
alpha005,5.63331344590301,-13.824688743385716,0.041210227345490937,0.16986599655728707,0.24260433624567612
alpha011,5.801764633945883,-6.068450694232119,0.01795548580511415,0.10850549417828026,0.16547996892777003
alpha077,-0.4278173477978431,-1.8427328752934624,0.01314305595689669,0.11547815769773487,0.1138142157696935
alpha088,1.0329620146154461,-2.1888001796055434,0.031575584191803785,0.1303617932356142,0.2422150187419905
alpha049,0.8294268848918485,-4.913544393354563,0.024680613154946754,0.16525859147405889,0.14934541638533172
alpha101,-4.508027096231659,2.814865080429385,-0.03644119014882867,0.16766213325659365,-0.21734895912995636
alpha060,4.991155607583231,-6.390715213486775,0.027914066497714198,0.14483392470030199,0.19273154791237937
alpha071,-0.2800330634178394,1.2407790032087362,0.0026250071419188963,0.08736799706566883,0.030045408273991325
alpha098,3.52257125058264,2.7101394116124666,-0.00040742591299500414,0.08265362597535977,-0.004929316871306573
alpha073,-0.266209845315446,-4.802380600746892,-0.009829758218365047,0.158121589675049,-0.06216581959848679
alpha066,2.012707626966037,-5.1923226418026935,0.011228238156540797,0.09082456096600149,0.12362557040869025
alpha072,-3.5610811580411017,1.893399157184561,-0.0005846794143615345,0.0903265132321013,-0.006472954545019948
alpha094,-2.2906921754328735,-4.380667192156462,0.021149079756039312,0.17596065543165387,0.12019209467115208
alpha057,10.948457697483871,-12.451336657344214,0.04278273988908061,0.14986164390268936,0.28548158671515045
alpha043,-1.152161888750003,0.33693090650599444,0.008237100405562093,0.1157157785734056,0.07118389995826538
alpha042,5.921486625031225,-14.456724105207375,0.041796417807321906,0.21459865740078135,0.19476551397646222
alpha083,9.534332187233208,-15.22027048665442,0.05118700574702873,0.15771890193628121,0.32454579076202544
alpha040,1.1223100844004463,-4.32269438461419,0.017617606999556286,0.13043943244735737,0.13506350548302473
alpha054,6.837168240720892,-11.562315722325467,0.04588084336419727,0.13987607649272424,0.32801065424925463
alpha055,-1.3692523951303048,-3.0420513765838653,0.01991757093607949,0.10426344375575167,0.1910312015277238
alpha041,0.7590562367698617,0.019429276156834874,0.014998313254546187,0.1473441235702216,0.10179105139132512
alpha045,-2.8659171700451402,-3.006468677559937,0.012300321042086462,0.08267005477110288,0.14878810805367956
alpha078,-0.47187500518242054,-0.5186312767757606,0.00995692850681888,0.09805631462971648,0.1015429607406577
alpha050,1.8422576242649313,-0.9775204682471728,0.01738203954240697,0.08746346991809553,0.19873484963132884
alpha044,1.315269379495998,0.2538349533764972,0.012710286615286236,0.10850172228019761,0.1171436392729589
alpha085,-4.357647572735823,2.3165213982068167,-0.0064818287165058506,0.08449556197087271,-0.07671206114636252
alpha052,5.1630592280837995,-4.836245242958448,0.02065492532042866,0.170601554013554,0.12107114404589574
alpha047,0.6240103069354852,-1.2599148303693575,0.004469896034602399,0.12793752558147103,0.03493811541443292
alpha053,4.032019817066246,0.6178529500733276,0.026237136298848437,0.12809220779113267,0.20483007320500515
alpha084,-3.1286307100009125,-4.618370953647366,-0.020319465030188163,0.16437862406170153,-0.12361379191591847
alpha008,3.192145681036873,-4.903863626946059,0.01898699734890665,0.1588921611565093,0.1194961237276167
